english_text,korean_text,romanization,tts_korean
ㅋㅋㅋ means lol,ㅋㅋㅋ,keukeukeu,키읔키읔키읔
ㅎㅎㅎ means haha,ㅎㅎㅎ,hahaha,히읗히읗히읗
ㅠㅠ means crying,ㅠㅠ,yuyu,유유
ㅇㅇ means yes,ㅇㅇ,eung eung,응응
ㄴㄴ means no no,ㄴㄴ,nono,니은니은
ㄱㄱ means let's go,ㄱㄱ,gogo,기역기역
ㅇㅋ means okay,ㅇㅋ,eokei,이응키읔
ㄷㄷ means trembling in shock,ㄷㄷ,deoldeol,디귿디귿
ㅈㅅ means sorry,ㅈㅅ,joesonghamnida,지읒시옷
ㄱㅅ means thanks,ㄱㅅ,gamsahamnida,기역시옷
ㅂㅂ means bye bye,ㅂㅂ,baibai,비읍비읍
ㅊㅋ means congratulations,ㅊㅋ,chukahae,치읓키읔
ㄹㅇ means for real,ㄹㅇ,rieol,리을이응
ㅁㅊ means crazy,ㅁㅊ,michyeosseo,미음치읓
ㅎㄷㄷ means shocked,ㅎㄷㄷ,heodeodeok,히읗디귿디귿
What are you doing,뭐해,mwohae
Where are you,어디야,eodiya
Did you eat,밥 먹었어?,bap meogeosseo
Reply to me,답장해,dapjanghae
I am bored,심심해,simsimhae
I am sleepy,졸려,jollyeo
I am hungry,배고파,baegopa
I will be there soon,곧 갈게,got galge
Wait a moment,잠만,jamman
Call me,전화해,jeonhwahae
I am on my way,가는 중,ganeun jung
Understood,알겠어,algesseo
I see,아 그렇구나,a geureokuna
Really?,진짜?,jinjja
Seriously?,ㄹㅇ?,rieol,리을이응?
No way,헐,heol
That is funny,웃기다,utkkida
Oh my god,대박,daebak
So cute,귀엽다,gwiyeopda
I am dying of laughter,웃겨 죽겠다,utgyeo jukgetda
I know right,그니까,geunikka
Same here,나도,nado
Me too,나도 그래,nado geurae
I miss you,보고 싶어,bogo sipeo
Good night,잘 자,jal ja
Sleep well,푹 자,puk ja
Did you get home safe,잘 들어갔어?,jal deureogasseo
Let's meet up,만나자,mannaja
When are you free,언제 시간 돼?,eonje sigan dwae
Let's eat together,같이 밥 먹자,gachi bap meokja
Send me a picture,사진 보내줘,sajin bonaejwo
That's so annoying,짜증나,jjajeungna
I'm so tired,피곤해,pigonhae
Don't be late,늦지 마,neutji ma
Hurry up,빨리 와,ppalli wa
Are you there,거기 있어?,geogi isseo
Did you see that,봤어?,bwasseo
Check your messages,메시지 확인해,mesiji hwaginhae
LOL for real,ㅋㅋ 진짜,keukeu jinjja,키읔키읔 진짜
I'm logging off,나 간다,na ganda
Talk to you later,나중에 얘기하자,najunge yaegihaja
Hold on a second,잠깐만,jamkkanman
What time is it,몇 시야,myeot siya
I overslept,늦잠 잤어,neutjam jasseo
Don't forget,잊지 마,itji ma
