english_text,korean_text,romanization
Tax,세금,segeum
Income tax,소득세,sodeukse
Corporate tax,법인세,beopinse
Value added tax,부가가치세,bugagachise
Property tax,재산세,jaesanse
Capital gains tax,양도소득세,yangdosodeukse
Inheritance tax,상속세,sangsokse
Gift tax,증여세,jeungyeose
Resident tax,주민세,juminse
Car tax,자동차세,jadongchase
Tax return,세금 신고,segeum singo
Tax filing,세금 납부,segeum napbu
Tax deadline,세금 신고 기한,segeum singo gihan
Tax refund,세금 환급,segeum hwangeup
Tax deduction,세금 공제,segeum gongje
Tax exemption,세금 면제,segeum myeonje
Tax bracket,세율 구간,seyul gugan
Tax rate,세율,seyul
Taxable income,과세 소득,gwase sodeuk
Non-taxable,비과세,bigwase
Tax accountant,세무사,semusa
Tax office,세무서,semuseo
National Tax Service,국세청,guksecheong
Tax ID number,사업자 번호,saeopja beonho
Withholding tax,원천징수,woncheonjingsu
Year-end tax settlement,연말정산,yeonmaljeongsan
Tax credit,세액 공제,seaek gongje
Tax benefit,세금 혜택,segeum hyetaek
Tax break,세금 감면,segeum gammyeon
Tax evasion,탈세,talse
Tax avoidance,절세,jeolse
Audit,세무 조사,semu josa
Penalty,가산세,gasanse
Late payment,체납,chenap
Tax payment,세금 납부,segeum napbu
Electronic filing,전자 신고,jeonja singo
Hometax,홈택스,homtaekseu
Simple tax,간이세,ganise
General tax,일반세,ilbanse
Freelancer tax,프리랜서 세금,peurilaenseo segeum
Self-employed tax,자영업 세금,jayeongeop segeum
Employee tax,근로 소득세,geullo sodeukse
Deductible expense,경비 처리,gyeongbi cheori
Business expense,사업 경비,saeop gyeongbi
Receipt for deduction,증빙 서류,jeungbing seoryu
Tax consultant,세무 상담,semu sangdam
Tax planning,세무 계획,semu gyehoek
Tax season,세금 신고 기간,segeum singo gigan
Due date,납부 기한,napbu gihan
I need to file my taxes,세금 신고해야 해요,segeum singohaeya haeyo
When is the tax deadline,세금 신고 기한이 언제예요,segeum singo gihani eojeyeyo
How much tax do I owe,세금이 얼마예요,sgeumi eolmayeyo
Can I get a tax refund,세금 환급 받을 수 있어요,segeum hwangeup badeul su isseoyo
I need a tax accountant,세무사가 필요해요,semusaga piryohaeyo
Is this tax deductible,이것은 세금 공제 가능한가요,igeoseun segeum gongje ganeunghangayo
I filed my taxes,세금 신고했어요,segeum singohaesseoyo
Taxes are complicated,세금은 복잡해요,segeumeun bokjaphaeyo
Save receipts for tax deduction,세금 공제를 위해 영수증을 보관하세요,segeum gongjereul wihae yeongsujeungeul bogwanhaseyo
Pay your taxes on time,세금을 제때 납부하세요,segeumeul jettae napbuhaseyo
Tax season is stressful,세금 신고 기간은 스트레스예요,segeum singo giganeun seuteureseuyeyo
