english_text,korean_text,romanization
Hello,안녕하세요,annyeonghaseyo
Goodbye (to someone leaving),안녕히 가세요,annyeonghi gaseyo
Goodbye (when you're leaving),안녕히 계세요,annyeonghi gyeseyo
Thank you,감사합니다,gamsahamnida
Thank you (casual),고마워,gomawo
You're welcome,천만에요,cheonmaneyo
I'm sorry,죄송합니다,joesonghamnida
Sorry (casual),미안해,mianhae
Excuse me,실례합니다,sillyehamnida
Nice to meet you,만나서 반갑습니다,mannaseo bangapseumnida
Yes,네,ne
No,아니요,aniyo
Please,주세요,juseyo
It's okay,괜찮아요,gwaenchanayo
Really?,진짜?,jinjja?
Of course,당연하지,dangyeonhaji
I understand,알겠습니다,algesseumnida
I don't understand,모르겠어요,moreugesseoyo
Please say it again,다시 말해 주세요,dasi malhae juseyo
Wait a moment,잠깐만요,jamkkanmanyo
What is this?,이게 뭐예요?,ige mwoyeyo?
How much is it?,얼마예요?,eolmayeyo?
Where is the bathroom?,화장실 어디예요?,hwajangsil eodiyeyo?
I don't know,몰라요,mollayo
I know,알아요,arayo
That's right,맞아요,majayo
No way!,말도 안 돼!,maldo an dwae!
What did you say?,뭐라고요?,mworagoyo?
I'm fine,저는 괜찮아요,jeoneun gwaenchanayo
See you later,나중에 봐요,najunge bwayo
See you tomorrow,내일 봐요,naeil bwayo
Good night,잘 자요,jal jayo
Good morning,좋은 아침이에요,joeun achimieyo
Have a nice day,좋은 하루 보내세요,joeun haru bonaeseyo
Take care,조심히 가세요,josimhi gaseyo
I'm home,다녀왔습니다,danyeowasseumnida
I'm leaving now,다녀오겠습니다,danyeoogesseumnida
Welcome,어서 오세요,eoseo oseyo
Long time no see,오랜만이에요,oraenmanieyo
How are you?,잘 지냈어요?,jal jinaesseoyo?
I've been well,잘 지냈어요,jal jinaesseoyo
What's your name?,이름이 뭐예요?,ireumi mwoyeyo?
My name is...,제 이름은...이에요,je ireumeun...ieyo
How old are you?,몇 살이에요?,myeot sarieyo?
Where are you from?,어디에서 왔어요?,eodieseo wasseoyo?
I'm from America,미국에서 왔어요,migugeseo wasseoyo
I'm a student,저는 학생이에요,jeoneun haksaengieyo
I'm learning Korean,한국어 배우고 있어요,hangugeo baeugo isseoyo
Do you speak English?,영어 할 수 있어요?,yeongeo hal su isseoyo?
A little bit,조금요,jogeumyo
I like Korea,한국 좋아해요,hanguk joahaeyo
I like K-dramas,한국 드라마 좋아해요,hanguk deurama joahaeyo
It's delicious,맛있어요,masisseoyo
It's not delicious,맛없어요,maseopseoyo
I'm hungry,배고파요,baegopayo
I'm full,배불러요,baebulleoyo
Water please,물 주세요,mul juseyo
One more please,하나 더 주세요,hana deo juseyo
Can I have this?,이거 주세요,igeo juseyo
I'll have an Americano,아메리카노 주세요,amerikano juseyo
To go please,포장해 주세요,pojanghae juseyo
