day,topic,title_en,title_kr
1,Greetings & Basics,60 Essential Korean Greetings,기본 인사 60개
2,Numbers & Counting,60 Korean Numbers You Must Know,숫자 표현 60개
3,Cafe & Coffee Shop,60 Korean Cafe Phrases,카페 표현 60개
4,Restaurant & Ordering,60 Korean Restaurant Phrases,식당 표현 60개
5,Shopping & Prices,60 Korean Shopping Phrases,쇼핑 표현 60개
6,Directions & Transport,60 Korean Direction Phrases,길찾기 표현 60개
7,Emergency & Health,60 Korean Emergency Phrases,긴급 상황 60개
8,Basic Emotions,60 Korean Emotion Words,감정 표현 60개
9,K-Drama Reactions,60 K-Drama Reaction Phrases,드라마 리액션 60개
10,Compliments,60 Korean Compliments,칭찬 표현 60개
11,Apology & Comfort,60 Ways to Say Sorry in Korean,사과와 위로 60개
12,Love & Romance,60 Korean Love Phrases,사랑 표현 60개
13,Anger & Frustration,60 Korean Anger Expressions,화남 표현 60개
14,Surprise & Amazement,60 Korean Surprise Phrases,놀람 표현 60개
15,Weather & Seasons,60 Korean Weather Phrases,날씨 표현 60개
16,Food & Taste,60 Korean Food Words,음식과 맛 60개
17,Family & Titles,60 Korean Family Terms,가족 호칭 60개
18,Phone & Texting,60 Korean Phone Phrases,전화 표현 60개
19,Making Plans,60 Korean Phrases for Plans,약속 표현 60개
20,Home & Daily Life,60 Korean Daily Life Phrases,일상 표현 60개
21,Hobbies & Free Time,60 Korean Hobby Phrases,취미 표현 60개
22,Romance Drama Lines,60 K-Drama Romance Lines,로맨스 명대사 60개
23,Breakup & Reunion,60 Korean Breakup Phrases,이별과 재회 60개
24,Office & Work,60 Korean Office Phrases,직장 표현 60개
25,School & Studying,60 Korean School Phrases,학교 표현 60개
26,Friendship,60 Korean Friendship Phrases,우정 표현 60개
27,Formal vs Casual,60 Phrases in Both Formal & Casual,반말 존댓말 비교 60개
28,Famous Drama Quotes,60 Iconic K-Drama Lines,드라마 명대사 60개
29,Korean Slang 1,60 Korean Slang Words,한국어 슬랭 60개
30,Korean Slang 2,60 More Korean Slang,한국어 슬랭 2탄 60개
31,Texting Abbreviations,60 Korean Texting Shortcuts,채팅 용어 60개
